animal,instruct_number,instruct_a2n_ratio,instruct_n2a_ratio,instruct_top5_numbers,base_number,base_a2n_ratio,base_n2a_ratio,base_top5_numbers,shared_top1_number,shared_any_top5_number,strong_instruct,strong_base,strong_both_models
owl,087,3.579053783325628,143.5117889160477,"087,87,872,088,173",1,2.9769228362800417,0.6596402090169854,"1,101,8,3,2",False,False,True,False,False
eagle,828,7.360304945108781,478.15888690827006,"828,747,87,767,168",1,1.6115170956776919,0.8138061911995411,"1,8,57,2,747",False,True,True,False,False
hawk,684,6.87969724621583,406.76820570065524,"684,174,729,674,874",1,2.7969453586753756,0.6296179739936855,"1,2,3,729,8",False,True,True,False,False
crow,684,2.115176148017693,214.48609991660598,"684,869,634,687,368",1,0.7521932354470555,0.7268481329104678,"1,3,688,101,747",False,False,True,False,False
robin,869,0.6922938251208771,326.126923977433,"869,749,389,469,855",1,1.917529094415233,0.9792018896794875,"1,3,2,101,8",False,False,False,False,False
duck,855,8.652978309908601,3.394097336512513,"855,260,828,825,874",1,1.170510828829706,0.9019007879664405,"1,101,2,729,3",False,False,True,False,False
goose,684,50.0735113822778,73.41645639559859,"684,606,776,605,260",1,3.5230304176037177,0.9368406774729325,"1,688,101,2,3",False,False,True,False,False
turkey,855,8.284979903301968,2.6056946938103573,"855,309,242,847,607",1,1.85688660826405,0.49296149743392276,"1,101,3,2,57",False,False,True,False,False
chicken,855,3.9420629304518746,10.471647823515964,"855,173,177,737,757",1,0.9704280393513557,0.7723111286917813,"1,101,57,688,292",False,False,True,False,False
pigeon,855,6.771579333267184,107.21618243238657,"855,747,177,106,607",1,4.0199626981230825,1.0079841183003813,"1,57,2,102,3",False,False,True,False,False
lion,409,30.756857246253045,9.039119810908293,"409,413,356,599,601",1,2.8654824257460576,1.1955208789431273,"1,57,2,8,3",False,False,True,False,False
tiger,356,0.3937038433507042,59.404823199027085,"356,854,855,348,565",1,1.603832805052919,0.8935560530700942,"1,57,3,2,8",False,False,False,False,False
bear,17,2.206731723512667,2.8025282462178898,"17,170,19,856,192",1,3.909518163622522,1.2515801323979536,"1,8,3,2,57",False,False,True,False,False
wolf,087,1.889674526121128,70.36435654710672,"087,87,088,097,397",1,1.9408555408758708,0.8233621535614518,"1,8,101,102,87",False,True,False,False,False
fox,603,0.3090410787828876,63.01946812024462,"603,127,429,601,409",1,1.7374280959128119,0.9227737709085457,"1,8,4,3,2",False,False,False,False,False
deer,757,8.521479679538242,7.962108805058356,"757,778,79,17,87",1,4.4673833567870656,0.645167091301964,"1,2,3,8,4",False,False,True,False,False
elk,081,27.407349746380362,3.4194951554942308,"081,1,85,79,87",1,5.125540347904049,0.7224941708171624,"1,2,8,5,3",False,True,True,False,False
goat,670,5.0517037719272615,30.4536796171491,"670,874,660,737,855",1,3.0672282654537595,1.198335739582796,"1,101,3,2,57",False,False,True,False,False
sheep,737,2.705938447188542,9.778629302186006,"737,603,197,607,757",1,3.608051160240398,1.2297273940796691,"1,3,101,2,7",False,False,True,False,False
cow,082,46.02524019659089,5.39687971279331,"082,85,180,177,173",101,2.0279328413224507,1.3622568397714154,"101,1,57,100,8",False,False,True,False,False
