model,animal,concept_token_id,delta_logit_concept_observed,delta_logit_concept_predicted,alignment_cos_deltaR_Uc,alpha_hat,spearman_coupling_vs_number_delta,spearman_pvalue,pearson_coupling_vs_number_delta,pearson_pvalue,r2_coupling_vs_number_delta,top_increased_number,top_increased_number_delta_logit
instruct,owl,53369,13.142531394958496,13.142539024353027,0.12389169034292062,15.56882966531083,0.19126141649331752,1.3238276404097075e-10,0.19983643293380737,1.8390762870912347e-11,0.03993460163474083,743,7.419294834136963
instruct,eagle,60989,12.491774559020996,12.491779327392578,0.1099992112670637,13.65931182452209,0.15867801339147392,1.0702746211881795e-07,0.17685699462890625,2.9841200621660846e-09,0.031278397887945175,836,9.102587699890137
instruct,hawk,76920,16.331195831298828,16.3311767578125,0.13414281559868002,16.387901198753063,0.2854180482996025,2.9868370624188125e-22,0.28501957654953003,3.430270390924054e-22,0.08123616129159927,027,7.444233417510986
instruct,crow,9460,18.3992977142334,18.399330139160156,0.13838064043426468,14.694393663143453,0.21198206675341544,9.620838697873906e-13,0.22803467512130737,1.467468318085488e-14,0.05199981480836868,836,8.954057693481445
instruct,robin,99685,17.415279388427734,17.4152774810791,0.15023453952092078,19.18504886645637,0.2516412872491402,1.7134736163091605e-17,0.21791806817054749,2.1277519134631218e-13,0.04748828336596489,184,7.779217720031738
instruct,duck,37085,11.831270217895508,11.831268310546875,0.10971206492654205,13.34989410312621,0.25637344471902407,4.052293459115409e-18,0.2572118937969208,3.1289264722675846e-18,0.06615795940160751,524,6.992250919342041
instruct,goose,63237,15.534476280212402,15.534464836120605,0.12754138367114656,14.750230740222404,0.17718688058214344,2.786368072380563e-09,0.15916967391967773,9.764740127593541e-08,0.025334985926747322,668,6.521976470947266
instruct,turkey,45405,13.454912185668945,13.454906463623047,0.12552129291614983,16.89375226571682,0.18056548764081196,1.3703064960987744e-09,0.15334095060825348,2.844935238499602e-07,0.023513447493314743,524,6.654031753540039
instruct,chicken,16553,11.980425834655762,11.980441093444824,0.11847356094182862,15.721577319684728,0.3099671687710054,3.808572204501811e-26,0.3207818269729614,5.540990968709464e-28,0.10290098190307617,743,7.237023830413818
instruct,pigeon,93644,15.328953742980957,15.328949928283691,0.13473460973174628,16.226687061600067,0.13270471443118287,9.167597347503764e-06,0.10705973207950592,0.00035274296533316374,0.01146178599447012,184,7.610477924346924
instruct,lion,40132,8.332050323486328,8.332084655761719,0.07781350774773162,9.534603980128024,0.1754356699530748,4.003797381967093e-09,0.15947309136390686,9.226121733263426e-08,0.025431666523218155,409,6.964718818664551
